Stream,Year,d_PAR,d_Chla
CHUCK,2018,3.2044262959999994,0.21833333333333338
LOON,2017,-0.04891994000000005,-0.020858585858585858
LOON,2018,2.068911056,0.1755666666666667
MCTE,2017,0.17987734300000002,0.02466666666666667
MCTE,2018,5.287670898999999,0.28700000000000003
W-100,2017,-0.6374858080000001,-0.009666666666666657
W-100,2018,1.5223872559999998,0.20566666666666672
W-113,2017,0.051774307000000075,-0.08033333333333331
W-113,2018,0.937959529,0.3056666666666667
W-122,2017,0.200487252,-0.01999999999999999
W-122,2018,3.928483161,0.2926666666666667
